bike_name,bike_type,date_ordered,quantity
 Speedster Pro,Road Bike,2024-07-16,2
BMX Freestyle Pro,BMX,2020-08-04,8
Hybrid Explorer,Hybrid Bike,2024-07-04,3
Mountain Climber XT,Mountain Bike,2020-10-13,3
Hybrid Explorer,Hybrid Bike,2021-10-23,2
Mountain Climber XT,Mountain Bike,2022-08-14,7
BMX Freestyle Pro,BMX,2020-05-22,3
UrbanCommuter 500,Hybrid Bike,2020-02-20,3
 Speedster Pro,Road Bike,2023-02-07,1
UrbanCommuter 500,Hybrid Bike,2023-03-03,4
AirMaster 300,BMX,2022-12-25,10
BMX Freestyle Pro,BMX,2024-04-20,2
AirMaster 300,BMX,2021-08-20,8
UrbanCommuter 500,Hybrid Bike,2021-10-27,3
AirMaster 300,BMX,2020-08-14,3
Mountain Climber XT,Mountain Bike,2022-01-21,2
Roadmaster Pro,Road Bike,2023-12-12,4
Hybrid Explorer,Hybrid Bike,2022-08-12,6
Mountain Climber XT,Mountain Bike,2023-01-23,3
BMX Freestyle Pro,BMX,2022-10-22,4
Roadmaster Pro,Road Bike,2022-01-22,2
 Speedster Pro,Road Bike,2020-01-26,3
TrailBlazer XT,Mountain Bike,2022-07-18,4
UrbanCommuter 500,Hybrid Bike,2020-09-13,2
TrailBlazer XT,Mountain Bike,2021-12-04,3
Hybrid Explorer,Hybrid Bike,2021-11-17,3
AirMaster 300,BMX,2022-10-08,1
 Speedster Pro,Road Bike,2024-07-20,4
Mountain Climber XT,Mountain Bike,2023-09-10,3
Mountain Climber XT,Mountain Bike,2022-01-03,3
TrailBlazer XT,Mountain Bike,2021-06-08,8
Mountain Climber XT,Mountain Bike,2020-06-06,6
Hybrid Explorer,Hybrid Bike,2020-05-10,3
Mountain Climber XT,Mountain Bike,2020-02-21,1
TrailBlazer XT,Mountain Bike,2020-08-20,8
Hybrid Explorer,Hybrid Bike,2022-02-18,1
BMX Freestyle Pro,BMX,2021-08-15,4
BMX Freestyle Pro,BMX,2024-07-08,3
Mountain Climber XT,Mountain Bike,2021-11-29,19
BMX Freestyle Pro,BMX,2021-07-14,6
 Speedster Pro,Road Bike,2022-11-22,16
 Speedster Pro,Road Bike,2020-11-12,3
AirMaster 300,BMX,2021-07-09,5
 Speedster Pro,Road Bike,2020-02-16,1
Roadmaster Pro,Road Bike,2020-08-11,5
Hybrid Explorer,Hybrid Bike,2020-04-16,1
BMX Freestyle Pro,BMX,2024-02-17,4
BMX Freestyle Pro,BMX,2021-08-18,9
Mountain Climber XT,Mountain Bike,2020-10-07,2
Roadmaster Pro,Road Bike,2021-07-23,8
Hybrid Explorer,Hybrid Bike,2024-02-03,3
AirMaster 300,BMX,2022-05-26,1
Roadmaster Pro,Road Bike,2020-07-20,9
AirMaster 300,BMX,2020-04-22,3
Roadmaster Pro,Road Bike,2023-02-17,3
BMX Freestyle Pro,BMX,2023-04-15,2
BMX Freestyle Pro,BMX,2020-04-08,1
Hybrid Explorer,Hybrid Bike,2021-02-03,2
TrailBlazer XT,Mountain Bike,2024-07-04,4
Roadmaster Pro,Road Bike,2021-09-09,2
 Speedster Pro,Road Bike,2023-05-19,2
Mountain Climber XT,Mountain Bike,2024-07-21,4
Roadmaster Pro,Road Bike,2023-09-12,2
Mountain Climber XT,Mountain Bike,2020-11-01,2
UrbanCommuter 500,Hybrid Bike,2024-05-21,2
Hybrid Explorer,Hybrid Bike,2020-05-08,2
TrailBlazer XT,Mountain Bike,2021-07-12,7
Roadmaster Pro,Road Bike,2022-12-25,15
AirMaster 300,BMX,2020-08-26,5
BMX Freestyle Pro,BMX,2023-09-01,3
TrailBlazer XT,Mountain Bike,2020-04-18,1
AirMaster 300,BMX,2024-04-05,3
AirMaster 300,BMX,2022-07-23,3
Mountain Climber XT,Mountain Bike,2021-05-18,3
UrbanCommuter 500,Hybrid Bike,2022-10-06,2
BMX Freestyle Pro,BMX,2021-09-08,3
 Speedster Pro,Road Bike,2021-01-12,1
UrbanCommuter 500,Hybrid Bike,2021-03-11,2
Mountain Climber XT,Mountain Bike,2024-07-26,2
Hybrid Explorer,Hybrid Bike,2020-09-23,4
 Speedster Pro,Road Bike,2023-07-29,4
TrailBlazer XT,Mountain Bike,2022-03-01,3
TrailBlazer XT,Mountain Bike,2024-08-11,2
Roadmaster Pro,Road Bike,2023-01-07,3
Hybrid Explorer,Hybrid Bike,2020-05-24,3
UrbanCommuter 500,Hybrid Bike,2022-10-02,2
AirMaster 300,BMX,2022-06-14,5
UrbanCommuter 500,Hybrid Bike,2022-03-09,2
Mountain Climber XT,Mountain Bike,2020-12-10,2
Roadmaster Pro,Road Bike,2021-10-22,3
 Speedster Pro,Road Bike,2023-10-13,2
TrailBlazer XT,Mountain Bike,2021-11-05,2
Hybrid Explorer,Hybrid Bike,2023-10-01,1
BMX Freestyle Pro,BMX,2022-03-10,2
Mountain Climber XT,Mountain Bike,2021-10-23,2
Hybrid Explorer,Hybrid Bike,2023-08-01,8
UrbanCommuter 500,Hybrid Bike,2022-03-25,1
Roadmaster Pro,Road Bike,2021-05-15,2
Roadmaster Pro,Road Bike,2021-01-21,2
 Speedster Pro,Road Bike,2023-12-28,9
Roadmaster Pro,Road Bike,2020-09-30,3
Hybrid Explorer,Hybrid Bike,2021-01-23,2
TrailBlazer XT,Mountain Bike,2023-11-21,19
 Speedster Pro,Road Bike,2022-02-15,1
BMX Freestyle Pro,BMX,2024-06-09,3
AirMaster 300,BMX,2020-05-01,4
Mountain Climber XT,Mountain Bike,2023-03-12,5
UrbanCommuter 500,Hybrid Bike,2021-04-04,2
 Speedster Pro,Road Bike,2024-06-02,3
UrbanCommuter 500,Hybrid Bike,2022-08-14,5
TrailBlazer XT,Mountain Bike,2022-12-20,13
 Speedster Pro,Road Bike,2020-01-31,3
AirMaster 300,BMX,2023-07-28,7
Mountain Climber XT,Mountain Bike,2024-07-19,3
 Speedster Pro,Road Bike,2022-03-14,3
 Speedster Pro,Road Bike,2022-07-03,5
 Speedster Pro,Road Bike,2023-06-09,7
UrbanCommuter 500,Hybrid Bike,2022-08-04,6
AirMaster 300,BMX,2024-01-07,2
UrbanCommuter 500,Hybrid Bike,2024-09-18,3
Roadmaster Pro,Road Bike,2024-06-20,3
 Speedster Pro,Road Bike,2023-07-22,6
TrailBlazer XT,Mountain Bike,2023-08-13,6
TrailBlazer XT,Mountain Bike,2021-01-26,2
Roadmaster Pro,Road Bike,2023-12-04,3
 Speedster Pro,Road Bike,2024-08-27,2
 Speedster Pro,Road Bike,2021-06-26,8
 Speedster Pro,Road Bike,2024-09-27,3
 Speedster Pro,Road Bike,2021-03-22,1
Hybrid Explorer,Hybrid Bike,2020-04-14,4
 Speedster Pro,Road Bike,2020-10-13,3
Mountain Climber XT,Mountain Bike,2021-09-20,1
BMX Freestyle Pro,BMX,2022-02-08,2
Hybrid Explorer,Hybrid Bike,2021-12-11,2
BMX Freestyle Pro,BMX,2024-07-13,4
AirMaster 300,BMX,2022-12-15,4
Roadmaster Pro,Road Bike,2024-03-07,1
UrbanCommuter 500,Hybrid Bike,2020-06-06,8
AirMaster 300,BMX,2020-03-10,4
AirMaster 300,BMX,2020-04-20,2
Mountain Climber XT,Mountain Bike,2024-05-17,2
Mountain Climber XT,Mountain Bike,2023-12-31,7
Roadmaster Pro,Road Bike,2020-10-29,1
Roadmaster Pro,Road Bike,2020-01-02,2
TrailBlazer XT,Mountain Bike,2021-07-22,10
 Speedster Pro,Road Bike,2022-12-25,14
AirMaster 300,BMX,2021-02-12,3
AirMaster 300,BMX,2020-06-15,2
Roadmaster Pro,Road Bike,2024-04-16,3
TrailBlazer XT,Mountain Bike,2021-08-18,9
TrailBlazer XT,Mountain Bike,2024-09-15,5
TrailBlazer XT,Mountain Bike,2023-07-02,6
 Speedster Pro,Road Bike,2021-05-19,2
TrailBlazer XT,Mountain Bike,2024-03-12,3
Hybrid Explorer,Hybrid Bike,2020-11-20,15
 Speedster Pro,Road Bike,2020-06-03,4
BMX Freestyle Pro,BMX,2020-10-19,2
AirMaster 300,BMX,2024-03-06,3
AirMaster 300,BMX,2022-03-29,1
Mountain Climber XT,Mountain Bike,2022-11-30,15
UrbanCommuter 500,Hybrid Bike,2023-12-06,5
TrailBlazer XT,Mountain Bike,2021-11-14,3
UrbanCommuter 500,Hybrid Bike,2024-09-16,1
Roadmaster Pro,Road Bike,2023-09-20,4
 Speedster Pro,Road Bike,2021-01-11,2
AirMaster 300,BMX,2020-11-06,2
Mountain Climber XT,Mountain Bike,2020-04-02,2
UrbanCommuter 500,Hybrid Bike,2020-02-18,2
UrbanCommuter 500,Hybrid Bike,2022-06-23,4
TrailBlazer XT,Mountain Bike,2020-02-17,2
Roadmaster Pro,Road Bike,2020-06-01,6
UrbanCommuter 500,Hybrid Bike,2024-05-12,3
Roadmaster Pro,Road Bike,2022-06-18,4
Mountain Climber XT,Mountain Bike,2021-04-22,4
BMX Freestyle Pro,BMX,2022-06-09,7
TrailBlazer XT,Mountain Bike,2022-07-16,6
Roadmaster Pro,Road Bike,2022-08-19,8
Roadmaster Pro,Road Bike,2024-06-16,3
AirMaster 300,BMX,2023-10-23,4
BMX Freestyle Pro,BMX,2021-01-06,3
Roadmaster Pro,Road Bike,2021-07-22,7
Mountain Climber XT,Mountain Bike,2020-06-29,10
TrailBlazer XT,Mountain Bike,2022-04-16,4
Mountain Climber XT,Mountain Bike,2022-05-09,2
Mountain Climber XT,Mountain Bike,2023-07-29,5
Mountain Climber XT,Mountain Bike,2022-10-14,4
AirMaster 300,BMX,2022-08-22,6
Mountain Climber XT,Mountain Bike,2024-05-22,2
AirMaster 300,BMX,2023-10-09,4
AirMaster 300,BMX,2022-03-19,1
Hybrid Explorer,Hybrid Bike,2023-02-06,3
Mountain Climber XT,Mountain Bike,2023-02-18,2
TrailBlazer XT,Mountain Bike,2021-04-14,4
 Speedster Pro,Road Bike,2024-03-31,1
TrailBlazer XT,Mountain Bike,2024-02-22,1
UrbanCommuter 500,Hybrid Bike,2024-01-25,2
Hybrid Explorer,Hybrid Bike,2020-06-10,8
TrailBlazer XT,Mountain Bike,2020-09-12,3
UrbanCommuter 500,Hybrid Bike,2024-07-13,1
BMX Freestyle Pro,BMX,2024-03-03,4
BMX Freestyle Pro,BMX,2021-08-05,11
TrailBlazer XT,Mountain Bike,2022-01-05,1
AirMaster 300,BMX,2022-02-28,1
AirMaster 300,BMX,2020-11-30,16
Mountain Climber XT,Mountain Bike,2020-09-22,2
AirMaster 300,BMX,2023-05-28,3
Roadmaster Pro,Road Bike,2023-08-16,3
 Speedster Pro,Road Bike,2023-06-04,10
Roadmaster Pro,Road Bike,2022-04-22,2
TrailBlazer XT,Mountain Bike,2021-06-06,7
UrbanCommuter 500,Hybrid Bike,2020-09-27,4
Mountain Climber XT,Mountain Bike,2020-12-10,4
TrailBlazer XT,Mountain Bike,2024-08-13,3
Hybrid Explorer,Hybrid Bike,2022-07-04,3
UrbanCommuter 500,Hybrid Bike,2024-01-12,2
Mountain Climber XT,Mountain Bike,2021-07-12,8
Roadmaster Pro,Road Bike,2022-03-05,1
Hybrid Explorer,Hybrid Bike,2022-06-03,8
Roadmaster Pro,Road Bike,2022-08-07,5
Hybrid Explorer,Hybrid Bike,2021-08-27,7
UrbanCommuter 500,Hybrid Bike,2023-09-28,2
Hybrid Explorer,Hybrid Bike,2021-03-13,1
UrbanCommuter 500,Hybrid Bike,2021-01-29,4
AirMaster 300,BMX,2021-10-12,3
AirMaster 300,BMX,2024-03-29,2
TrailBlazer XT,Mountain Bike,2023-01-24,4
TrailBlazer XT,Mountain Bike,2023-09-01,3
UrbanCommuter 500,Hybrid Bike,2021-07-09,5
TrailBlazer XT,Mountain Bike,2024-01-05,2
Roadmaster Pro,Road Bike,2023-01-01,10
BMX Freestyle Pro,BMX,2024-04-30,2
Hybrid Explorer,Hybrid Bike,2020-11-21,18
Hybrid Explorer,Hybrid Bike,2023-06-06,9
AirMaster 300,BMX,2022-03-18,3
AirMaster 300,BMX,2023-04-11,3
Mountain Climber XT,Mountain Bike,2023-08-06,7
Mountain Climber XT,Mountain Bike,2023-12-03,15
 Speedster Pro,Road Bike,2021-11-23,18
Mountain Climber XT,Mountain Bike,2024-09-13,3
AirMaster 300,BMX,2022-11-04,1
BMX Freestyle Pro,BMX,2024-04-07,1
BMX Freestyle Pro,BMX,2024-09-18,3
 Speedster Pro,Road Bike,2023-08-11,7
Roadmaster Pro,Road Bike,2023-10-01,1
BMX Freestyle Pro,BMX,2024-09-27,4
TrailBlazer XT,Mountain Bike,2021-05-16,3
TrailBlazer XT,Mountain Bike,2022-02-12,3
Hybrid Explorer,Hybrid Bike,2021-09-24,2
BMX Freestyle Pro,BMX,2024-01-26,4
Roadmaster Pro,Road Bike,2024-04-08,3
Mountain Climber XT,Mountain Bike,2023-09-20,3
 Speedster Pro,Road Bike,2022-07-27,8
 Speedster Pro,Road Bike,2021-04-10,2
Hybrid Explorer,Hybrid Bike,2023-05-05,3
BMX Freestyle Pro,BMX,2024-04-17,2
TrailBlazer XT,Mountain Bike,2024-03-24,4
Hybrid Explorer,Hybrid Bike,2020-07-20,9
Roadmaster Pro,Road Bike,2021-01-17,3
Hybrid Explorer,Hybrid Bike,2023-04-02,3
TrailBlazer XT,Mountain Bike,2024-02-11,3
Mountain Climber XT,Mountain Bike,2023-02-09,3
AirMaster 300,BMX,2024-03-03,2
TrailBlazer XT,Mountain Bike,2024-08-12,1
BMX Freestyle Pro,BMX,2021-06-09,11
 Speedster Pro,Road Bike,2020-05-04,2
AirMaster 300,BMX,2022-12-25,13
BMX Freestyle Pro,BMX,2020-05-13,4
Roadmaster Pro,Road Bike,2022-07-14,7
BMX Freestyle Pro,BMX,2021-06-17,7
Mountain Climber XT,Mountain Bike,2020-09-09,3
UrbanCommuter 500,Hybrid Bike,2021-05-15,3
Mountain Climber XT,Mountain Bike,2022-06-05,10
TrailBlazer XT,Mountain Bike,2022-09-02,3
 Speedster Pro,Road Bike,2020-02-25,2
Roadmaster Pro,Road Bike,2020-07-02,8
Roadmaster Pro,Road Bike,2024-09-21,3
Hybrid Explorer,Hybrid Bike,2020-10-23,3
Roadmaster Pro,Road Bike,2022-04-11,1
Mountain Climber XT,Mountain Bike,2022-12-25,12
Mountain Climber XT,Mountain Bike,2021-04-04,3
Roadmaster Pro,Road Bike,2020-12-09,3
Mountain Climber XT,Mountain Bike,2024-04-09,2
AirMaster 300,BMX,2024-01-24,2
AirMaster 300,BMX,2023-08-08,3
TrailBlazer XT,Mountain Bike,2020-06-06,2
 Speedster Pro,Road Bike,2023-01-24,4
Mountain Climber XT,Mountain Bike,2023-02-08,2
UrbanCommuter 500,Hybrid Bike,2020-01-10,3
BMX Freestyle Pro,BMX,2022-02-19,3
UrbanCommuter 500,Hybrid Bike,2024-05-23,3
Roadmaster Pro,Road Bike,2022-01-19,4
BMX Freestyle Pro,BMX,2023-12-06,4
Roadmaster Pro,Road Bike,2021-09-28,3
 Speedster Pro,Road Bike,2020-02-21,2
AirMaster 300,BMX,2022-12-14,3
AirMaster 300,BMX,2022-12-20,16
Roadmaster Pro,Road Bike,2021-06-13,1
UrbanCommuter 500,Hybrid Bike,2022-08-25,4
AirMaster 300,BMX,2022-09-08,3
TrailBlazer XT,Mountain Bike,2023-05-12,2
TrailBlazer XT,Mountain Bike,2020-10-24,3
 Speedster Pro,Road Bike,2022-08-10,5
BMX Freestyle Pro,BMX,2021-01-26,1
 Speedster Pro,Road Bike,2023-12-28,12
Hybrid Explorer,Hybrid Bike,2021-02-28,3
UrbanCommuter 500,Hybrid Bike,2020-02-26,2
Roadmaster Pro,Road Bike,2022-11-02,2
 Speedster Pro,Road Bike,2020-12-06,2
Hybrid Explorer,Hybrid Bike,2022-06-20,5
TrailBlazer XT,Mountain Bike,2022-08-20,4
Roadmaster Pro,Road Bike,2023-06-02,6
Mountain Climber XT,Mountain Bike,2024-03-15,2
Hybrid Explorer,Hybrid Bike,2024-06-19,1
AirMaster 300,BMX,2021-04-02,4
Hybrid Explorer,Hybrid Bike,2021-05-12,4
Roadmaster Pro,Road Bike,2021-10-29,1
Roadmaster Pro,Road Bike,2022-01-03,1
TrailBlazer XT,Mountain Bike,2020-03-31,1
AirMaster 300,BMX,2021-12-16,2
Hybrid Explorer,Hybrid Bike,2023-05-05,3
 Speedster Pro,Road Bike,2020-11-11,4
Roadmaster Pro,Road Bike,2022-07-22,5
BMX Freestyle Pro,BMX,2022-10-08,2
Mountain Climber XT,Mountain Bike,2022-04-18,2
TrailBlazer XT,Mountain Bike,2020-04-11,2
BMX Freestyle Pro,BMX,2020-09-29,2
UrbanCommuter 500,Hybrid Bike,2023-12-25,9
TrailBlazer XT,Mountain Bike,2020-11-24,16
AirMaster 300,BMX,2021-03-20,1
AirMaster 300,BMX,2020-01-11,2
Roadmaster Pro,Road Bike,2020-03-06,3
AirMaster 300,BMX,2021-08-21,6
Mountain Climber XT,Mountain Bike,2020-01-30,3
Roadmaster Pro,Road Bike,2021-08-28,7
Roadmaster Pro,Road Bike,2023-11-30,19
Mountain Climber XT,Mountain Bike,2023-05-28,2
Hybrid Explorer,Hybrid Bike,2021-06-19,7
AirMaster 300,BMX,2023-07-04,9
UrbanCommuter 500,Hybrid Bike,2023-06-20,5
Mountain Climber XT,Mountain Bike,2023-12-05,3
AirMaster 300,BMX,2023-08-19,6
TrailBlazer XT,Mountain Bike,2021-03-10,3
Roadmaster Pro,Road Bike,2023-07-22,9
Hybrid Explorer,Hybrid Bike,2021-01-04,2
 Speedster Pro,Road Bike,2024-03-25,4
TrailBlazer XT,Mountain Bike,2020-08-22,5
BMX Freestyle Pro,BMX,2020-03-29,2
UrbanCommuter 500,Hybrid Bike,2023-08-18,10
 Speedster Pro,Road Bike,2021-04-19,2
AirMaster 300,BMX,2024-07-17,1
BMX Freestyle Pro,BMX,2022-04-24,3
AirMaster 300,BMX,2022-11-17,2
Roadmaster Pro,Road Bike,2022-11-30,19
Mountain Climber XT,Mountain Bike,2023-04-08,3
BMX Freestyle Pro,BMX,2020-08-23,5
AirMaster 300,BMX,2021-10-07,4
UrbanCommuter 500,Hybrid Bike,2021-11-07,2
BMX Freestyle Pro,BMX,2021-07-08,7
Roadmaster Pro,Road Bike,2020-04-26,3
AirMaster 300,BMX,2022-02-13,2
TrailBlazer XT,Mountain Bike,2022-03-11,3
TrailBlazer XT,Mountain Bike,2021-08-15,4
TrailBlazer XT,Mountain Bike,2020-07-19,5
TrailBlazer XT,Mountain Bike,2023-09-30,3
Hybrid Explorer,Hybrid Bike,2021-03-07,2
TrailBlazer XT,Mountain Bike,2022-04-07,1
Roadmaster Pro,Road Bike,2022-06-03,3
TrailBlazer XT,Mountain Bike,2023-04-03,2
Roadmaster Pro,Road Bike,2024-08-30,5
Roadmaster Pro,Road Bike,2023-02-05,3
Mountain Climber XT,Mountain Bike,2020-12-20,13
Mountain Climber XT,Mountain Bike,2024-09-19,4
Mountain Climber XT,Mountain Bike,2024-09-28,3
Mountain Climber XT,Mountain Bike,2022-12-17,4
Mountain Climber XT,Mountain Bike,2023-06-15,3
Mountain Climber XT,Mountain Bike,2023-07-08,4
UrbanCommuter 500,Hybrid Bike,2022-02-21,3
Mountain Climber XT,Mountain Bike,2022-05-30,3
AirMaster 300,BMX,2022-08-20,5
Hybrid Explorer,Hybrid Bike,2022-12-13,1
UrbanCommuter 500,Hybrid Bike,2021-10-27,3
Mountain Climber XT,Mountain Bike,2023-02-16,1
Roadmaster Pro,Road Bike,2022-09-03,1
TrailBlazer XT,Mountain Bike,2022-06-18,7
BMX Freestyle Pro,BMX,2020-04-24,1
Mountain Climber XT,Mountain Bike,2023-12-28,12
AirMaster 300,BMX,2020-09-11,1
Hybrid Explorer,Hybrid Bike,2022-11-04,2
UrbanCommuter 500,Hybrid Bike,2021-11-26,15
AirMaster 300,BMX,2021-11-16,2
Hybrid Explorer,Hybrid Bike,2022-06-06,4
 Speedster Pro,Road Bike,2021-09-03,2
Roadmaster Pro,Road Bike,2022-02-24,2
BMX Freestyle Pro,BMX,2020-11-01,3
Mountain Climber XT,Mountain Bike,2024-09-29,2
Roadmaster Pro,Road Bike,2020-03-15,1
Mountain Climber XT,Mountain Bike,2022-04-29,4
AirMaster 300,BMX,2022-06-03,4
TrailBlazer XT,Mountain Bike,2023-07-08,6
BMX Freestyle Pro,BMX,2020-07-08,6
Roadmaster Pro,Road Bike,2024-07-29,3
TrailBlazer XT,Mountain Bike,2023-01-26,3
AirMaster 300,BMX,2022-08-25,5
 Speedster Pro,Road Bike,2023-10-08,2
Roadmaster Pro,Road Bike,2021-08-07,4
Roadmaster Pro,Road Bike,2020-08-12,6
TrailBlazer XT,Mountain Bike,2023-11-15,1
Hybrid Explorer,Hybrid Bike,2023-01-03,3
BMX Freestyle Pro,BMX,2024-01-25,5
AirMaster 300,BMX,2020-02-03,1
Hybrid Explorer,Hybrid Bike,2024-02-16,2
BMX Freestyle Pro,BMX,2023-08-19,7
AirMaster 300,BMX,2021-03-27,3
UrbanCommuter 500,Hybrid Bike,2020-08-23,5
UrbanCommuter 500,Hybrid Bike,2021-07-26,8
UrbanCommuter 500,Hybrid Bike,2021-03-12,2
UrbanCommuter 500,Hybrid Bike,2021-05-01,3
TrailBlazer XT,Mountain Bike,2021-05-29,1
UrbanCommuter 500,Hybrid Bike,2020-05-02,3
 Speedster Pro,Road Bike,2022-05-14,3
BMX Freestyle Pro,BMX,2021-07-07,8
 Speedster Pro,Road Bike,2023-08-07,5
AirMaster 300,BMX,2020-12-29,11
 Speedster Pro,Road Bike,2020-05-03,2
Roadmaster Pro,Road Bike,2024-09-27,2
Hybrid Explorer,Hybrid Bike,2021-06-18,9
Roadmaster Pro,Road Bike,2022-04-22,2
 Speedster Pro,Road Bike,2023-10-21,2
Roadmaster Pro,Road Bike,2023-10-07,3
TrailBlazer XT,Mountain Bike,2022-12-28,11
 Speedster Pro,Road Bike,2020-08-04,9
BMX Freestyle Pro,BMX,2022-05-02,4
Roadmaster Pro,Road Bike,2022-12-28,13
Mountain Climber XT,Mountain Bike,2020-07-19,7
TrailBlazer XT,Mountain Bike,2024-04-16,2
Roadmaster Pro,Road Bike,2022-10-09,1
Roadmaster Pro,Road Bike,2020-08-29,8
UrbanCommuter 500,Hybrid Bike,2021-02-06,3
AirMaster 300,BMX,2024-03-31,3
Roadmaster Pro,Road Bike,2020-09-18,3
UrbanCommuter 500,Hybrid Bike,2020-07-19,7
Hybrid Explorer,Hybrid Bike,2020-12-01,21
AirMaster 300,BMX,2024-09-09,3
TrailBlazer XT,Mountain Bike,2024-08-15,2
BMX Freestyle Pro,BMX,2023-01-25,2
TrailBlazer XT,Mountain Bike,2024-09-30,1
 Speedster Pro,Road Bike,2021-10-19,3
Roadmaster Pro,Road Bike,2023-06-12,10
Hybrid Explorer,Hybrid Bike,2020-12-22,10
TrailBlazer XT,Mountain Bike,2020-11-06,2
Roadmaster Pro,Road Bike,2021-12-04,1
Mountain Climber XT,Mountain Bike,2020-02-01,1
TrailBlazer XT,Mountain Bike,2024-01-25,3
Roadmaster Pro,Road Bike,2024-04-22,2
 Speedster Pro,Road Bike,2022-05-05,1
 Speedster Pro,Road Bike,2024-09-02,1
Roadmaster Pro,Road Bike,2022-10-17,2
Mountain Climber XT,Mountain Bike,2023-08-08,3
AirMaster 300,BMX,2023-09-02,4
TrailBlazer XT,Mountain Bike,2020-09-12,1
BMX Freestyle Pro,BMX,2020-07-12,10
Mountain Climber XT,Mountain Bike,2023-09-22,4
Roadmaster Pro,Road Bike,2022-11-02,4
AirMaster 300,BMX,2021-12-05,5
Hybrid Explorer,Hybrid Bike,2020-04-01,2
AirMaster 300,BMX,2021-01-22,1
TrailBlazer XT,Mountain Bike,2023-12-20,12
UrbanCommuter 500,Hybrid Bike,2021-03-27,1
Mountain Climber XT,Mountain Bike,2023-06-16,8
Mountain Climber XT,Mountain Bike,2022-02-15,2
Hybrid Explorer,Hybrid Bike,2023-02-03,3
AirMaster 300,BMX,2022-08-09,4
BMX Freestyle Pro,BMX,2024-05-05,3
BMX Freestyle Pro,BMX,2021-05-24,2
Roadmaster Pro,Road Bike,2022-11-08,2
 Speedster Pro,Road Bike,2024-03-28,3
Mountain Climber XT,Mountain Bike,2021-12-19,11
Roadmaster Pro,Road Bike,2021-02-26,3
AirMaster 300,BMX,2022-09-21,3
AirMaster 300,BMX,2020-08-02,5
Hybrid Explorer,Hybrid Bike,2023-06-21,5
Mountain Climber XT,Mountain Bike,2021-01-25,4
Hybrid Explorer,Hybrid Bike,2021-11-21,17
BMX Freestyle Pro,BMX,2022-10-29,4
TrailBlazer XT,Mountain Bike,2024-06-21,4
 Speedster Pro,Road Bike,2020-10-31,4
BMX Freestyle Pro,BMX,2021-02-17,2
AirMaster 300,BMX,2022-12-26,16
 Speedster Pro,Road Bike,2020-11-17,2
UrbanCommuter 500,Hybrid Bike,2024-07-25,3
TrailBlazer XT,Mountain Bike,2023-03-23,3
Hybrid Explorer,Hybrid Bike,2022-07-26,5
AirMaster 300,BMX,2020-08-24,6
BMX Freestyle Pro,BMX,2022-10-09,1
Roadmaster Pro,Road Bike,2020-04-01,3
 Speedster Pro,Road Bike,2022-01-12,2
Roadmaster Pro,Road Bike,2022-08-22,4
UrbanCommuter 500,Hybrid Bike,2020-08-08,4
TrailBlazer XT,Mountain Bike,2023-04-14,3
TrailBlazer XT,Mountain Bike,2022-05-05,2
AirMaster 300,BMX,2021-07-15,8
 Speedster Pro,Road Bike,2023-11-19,14
Hybrid Explorer,Hybrid Bike,2023-10-28,6
Mountain Climber XT,Mountain Bike,2020-09-06,2
TrailBlazer XT,Mountain Bike,2023-09-24,3
UrbanCommuter 500,Hybrid Bike,2022-06-24,5
AirMaster 300,BMX,2022-09-12,3
Mountain Climber XT,Mountain Bike,2022-06-16,6
Hybrid Explorer,Hybrid Bike,2020-02-12,2
TrailBlazer XT,Mountain Bike,2022-12-09,2
 Speedster Pro,Road Bike,2022-04-01,1
BMX Freestyle Pro,BMX,2020-06-22,2
BMX Freestyle Pro,BMX,2022-09-22,3
Mountain Climber XT,Mountain Bike,2020-12-30,5
 Speedster Pro,Road Bike,2020-07-04,8
Mountain Climber XT,Mountain Bike,2020-01-21,3
Mountain Climber XT,Mountain Bike,2021-04-04,2
Mountain Climber XT,Mountain Bike,2023-08-11,5
Hybrid Explorer,Hybrid Bike,2020-02-08,3
BMX Freestyle Pro,BMX,2022-06-01,3
Hybrid Explorer,Hybrid Bike,2020-11-16,4
AirMaster 300,BMX,2021-03-11,2
AirMaster 300,BMX,2023-10-15,3
Roadmaster Pro,Road Bike,2023-02-17,2
Roadmaster Pro,Road Bike,2020-01-12,3
Roadmaster Pro,Road Bike,2020-12-17,3
TrailBlazer XT,Mountain Bike,2023-10-22,2
UrbanCommuter 500,Hybrid Bike,2020-09-07,2
UrbanCommuter 500,Hybrid Bike,2023-02-25,4
 Speedster Pro,Road Bike,2023-06-15,7
Hybrid Explorer,Hybrid Bike,2023-04-06,1
BMX Freestyle Pro,BMX,2021-01-10,2
UrbanCommuter 500,Hybrid Bike,2024-04-30,5
BMX Freestyle Pro,BMX,2020-07-10,9
Hybrid Explorer,Hybrid Bike,2024-03-23,2
AirMaster 300,BMX,2022-02-23,1
Hybrid Explorer,Hybrid Bike,2021-08-23,6
BMX Freestyle Pro,BMX,2022-11-04,4
Mountain Climber XT,Mountain Bike,2021-04-20,4
UrbanCommuter 500,Hybrid Bike,2023-01-26,3
AirMaster 300,BMX,2021-08-02,11
UrbanCommuter 500,Hybrid Bike,2023-07-18,6
UrbanCommuter 500,Hybrid Bike,2020-01-01,8
Mountain Climber XT,Mountain Bike,2020-08-16,6
Hybrid Explorer,Hybrid Bike,2020-11-04,2
